epanet_id,epanet_lat,epanet_lon,truth_lat,truth_lon,truth_name,truth_deveui,mid_lat,mid_lon
Junction_3629,42.40251277925691,13.041827662948652,42.402248,13.041668,AX_06550015,8C83FC050063F1FF,42.402380389628455,13.041747831474325
Junction_304,42.40244700444529,13.042055666892042,42.402465,13.042071,AX_06557827,8C83FC0500641083,42.40245600222265,13.04206333344602
Junction_2981,42.402314703025,13.045052457367634,42.402473,13.044934,AX_06549985,8C83FC050063F1E1,42.4023938515125,13.044993228683817
Junction_75,42.40306493090641,13.040480898598348,42.402997,13.040576,AX_06550006,8C83FC050063F1F6,42.403030965453205,13.040528449299174
Junction_3111,42.403112623446006,13.045611031803157,42.403053,13.045648,AX_05964348,8C83FC05005B023C,42.403082811723,13.045629515901577
Junction_334,42.40306299995074,13.045528000074793,42.403078,13.045498,AX_06549984,8C83FC050063F1E0,42.40307049997537,13.045513000037396
Junction_2997,42.4031101347149,13.04569241450102,42.403093,13.045678,AX_05959949,8C83FC05005AF10D,42.40310156735745,13.04568520725051
Junction_355,42.40313297145255,13.045642787191516,42.40327,13.045615,AX_05964356,8C83FC05005B0244,42.40320148572627,13.045628893595758
Junction_141,42.400477193040594,13.04410012209605,42.400255,13.044292,AX_07365166,8C83FC050070622E,42.4003660965203,13.044196061048027
Junction_2914,42.40105171940486,13.041377382641121,42.401063,13.041468,AX_06550009,8C83FC050063F1F9,42.401057359702435,13.04142269132056
Junction_112,42.398809155003384,13.042297689839346,42.398159,13.042355,AX_06550140,8C83FC050063F27C,42.39848407750169,13.042326344919672
Junction_2909,42.398988564663384,13.042779057850815,42.398938,13.042677,AX_05959978,8C83FC05005AF12A,42.39896328233169,13.042728028925406
Junction_2908,42.398850610790625,13.042409593625129,42.398117,13.042715,AX_06549975,8C83FC050063F1D7,42.398483805395315,13.042562296812564
Junction_2908,42.398850610790625,13.042409593625129,42.398117,13.042715,AX_06549995,8C83FC050063F1EB,42.398483805395315,13.042562296812564
Junction_159,42.399979420214464,13.042757862304384,42.400128,13.042726,AX_06755657,8C83FC0500671549,42.40005371010723,13.042741931152193
Junction_2572,42.39348922602737,13.031263388055038,42.393098,13.031193,AX_05959987,8C83FC05005AF133,42.39329361301368,13.03122819402752
Junction_2572,42.39348922602737,13.031263388055038,42.393098,13.031193,AX_06746402,8C83FC050066F122,42.39329361301368,13.03122819402752
Junction_2572,42.39348922602737,13.031263388055038,42.393098,13.031193,AX_05959997,8C83FC05005AF13D,42.39329361301368,13.03122819402752
Junction_2562,42.39352137130633,13.031078875553337,42.39342,13.031032,AX_06746286,8C83FC050066F0AE,42.39347068565316,13.031055437776669
Junction_2584,42.39346256960153,13.031561417919274,42.393129,13.031561,AX_05959954,8C83FC05005AF112,42.39329578480077,13.031561208959637
Junction_638,42.393513391142335,13.030784573376573,42.393538,13.030776,AX_05964350,8C83FC05005B023E,42.39352569557117,13.030780286688287
Junction_2567,42.39368178695961,13.03084907056939,42.393665,13.030809,AX_06561738,8C83FC0500641FCA,42.3936733934798,13.030829035284695
Junction_2567,42.39368178695961,13.03084907056939,42.393675,13.030816,AX_05959945,8C83FC05005AF109,42.3936783934798,13.030832535284695
Junction_2567,42.39368178695961,13.03084907056939,42.393688,13.03084,AX_06549971,8C83FC050063F1D3,42.3936848934798,13.030844535284695
Junction_2567,42.39368178695961,13.03084907056939,42.393652,13.030846,AX_05964347,8C83FC05005B023B,42.3936668934798,13.030847535284696
Junction_630,42.39369331343074,13.030903448794282,42.393735,13.030926,AX_05964394,8C83FC05005B026A,42.39371415671537,13.03091472439714
Junction_2563,42.3935830959675,13.031011490888442,42.393657,13.031044,AX_06760249,8C83FC0500672739,42.393620047983745,13.03102774544422
Junction_3259,42.393641852182576,13.031182272739567,42.393625,13.031203,AX_05964396,8C83FC05005B026C,42.393633426091284,13.031192636369784
Junction_2583,42.39355782250543,13.031498848385231,42.393547,13.031514,AX_06560387,8C83FC0500641A83,42.39355241125271,13.031506424192616
Junction_3253,42.393521915941655,13.031679299166603,42.393514,13.031711,AX_06557987,8C83FC0500641123,42.39351795797083,13.031695149583301
Junction_587,42.393583183744916,13.032006475193132,42.393622,13.031913,AX_06233173,8C83FC05005F1C55,42.39360259187246,13.031959737596566
Junction_588,42.393629708245165,13.032032649798797,42.393661,13.031931,AX_06233150,8C83FC05005F1C3E,42.39364535412258,13.031981824899399
Junction_2755,42.39348028933997,13.03197744886902,42.393381,13.031969,AX_06549967,8C83FC050063F1CF,42.393430644669984,13.031973224434509
Junction_3677,42.39412223332577,13.03124714513575,42.394209,13.031291,AX_06549966,8C83FC050063F1CE,42.39416561666288,13.031269072567873
Junction_3676,42.39391376037766,13.031384974310598,42.393906,13.031416,AX_06233196,8C83FC05005F1C6C,42.39390988018883,13.031400487155299
Junction_3676,42.39391376037766,13.031384974310598,42.393963,13.031553,AX_06550028,8C83FC050063F20C,42.39393838018883,13.0314689871553
Junction_3677,42.39412223332577,13.03124714513575,42.394195,13.031288,AX_06233165,8C83FC05005F1C4D,42.394158616662885,13.031267572567874
Junction_635,42.39386095626125,13.03092333785658,42.393921,13.031063,AX_05959944,8C83FC05005AF108,42.39389097813063,13.03099316892829
Junction_3676,42.39391376037766,13.031384974310598,42.393963,13.031553,AX_06550024,8C83FC050063F208,42.39393838018883,13.0314689871553
Junction_3677,42.39412223332577,13.03124714513575,42.394005,13.031193,AX_05964373,8C83FC05005B0255,42.39406361666288,13.031220072567875
