Node,Latitude,Longitude
Junction_135,337952.634297,4696276.661391
Junction_1350,336307.376941,4694563.525591
Junction_1351,336309.595888,4694560.10714
Junction_1352,336312.35687,4694566.5242
Junction_1353,336312.781166,4694565.427717
Junction_1354,336315.181075,4694568.224741
Junction_1355,336314.437355,4694569.694711
Junction_1356,336300.612274,4694563.933718
Junction_1357,336302.696914,4694565.943621
Junction_1358,336297.513998,4694566.844275
Junction_1359,336297.099763,4694565.607978
Junction_136,337953.605033,4696275.265908
Junction_1360,336297.133703,4694567.068037
Junction_1361,336298.47277,4694568.938025
Junction_1362,336285.087504,4694568.567892
Junction_1363,336285.441819,4694569.47155
Junction_1364,336262.770384,4694557.588292
Junction_1365,336264.080868,4694556.900687
Junction_1366,336262.462924,4694557.464947
Junction_1367,336263.53553,4694556.611448
Junction_1368,336262.241615,4694557.376193
Junction_1369,336263.537682,4694556.509579
Junction_137,339037.751315,4696109.676002
Junction_1370,336270.590937,4694554.660115
Junction_1371,336278.619984,4694550.767659
Junction_1372,336277.084737,4694549.884926
Junction_1373,336260.210438,4694556.443802
Junction_1374,336265.396958,4694551.588419
Junction_1375,336258.473555,4694555.171012
Junction_1376,336259.310885,4694554.270158
Junction_1377,336257.508626,4694554.055357
Junction_1378,336257.502769,4694554.093401
Junction_1379,336285.630139,4694541.155459
Junction_138,339118.892332,4696349.137166
Junction_1380,336283.624792,4694542.183011
Junction_1381,336246.647764,4694544.405312
Junction_1382,336246.88379,4694543.644071
Junction_1383,336247.396891,4694544.647596
Junction_1384,336247.247516,4694545.432915
Junction_1385,336250.663264,4694539.632777
Junction_1386,336253.326931,4694537.835873
Junction_1387,336255.152268,4694535.128905
Junction_1388,336260.785461,4694535.009766
Junction_1389,336252.658399,4694533.82548
Junction_139,339032.875909,4696095.779537
Junction_1390,336250.444157,4694539.20833
Junction_1391,336252.407605,4694537.507039
Junction_1392,336247.807471,4694534.900938
Junction_1393,336251.413141,4694532.765039
Junction_1394,336252.344231,4694543.961042
Junction_1395,336253.292191,4694543.854818
Junction_1396,336237.10895,4694517.457523
Junction_1397,336236.248393,4694518.221317
Junction_1398,336234.199995,4694514.006884
Junction_1399,336234.649171,4694513.631545
Junction_14,336045.810204,4694460.84176
Junction_140,339034.573696,4696099.284539
Junction_1400,336212.054426,4694510.919671
Junction_1401,336211.002645,4694512.541519
Junction_1402,336234.663588,4694504.290812
Junction_1403,336237.613641,4694505.599194
Junction_1404,336232.76887,4694502.868548
Junction_1405,336230.650391,4694505.726493
Junction_1406,336228.644243,4694507.416571
Junction_1407,336243.137356,4694547.622077
Junction_1408,336244.26878,4694547.957119
Junction_1409,336244.00382,4694544.615909
Junction_141,339033.764299,4696095.309437
Junction_1410,336242.788397,4694545.338655
Junction_1411,336244.28575,4694543.637814
Junction_1412,336234.667342,4694540.54159
Junction_1413,336234.539943,4694541.013693
Junction_1414,336232.233844,4694539.873208
Junction_1415,336232.395884,4694539.314854
Junction_1416,336229.124505,4694538.779378
Junction_1417,336229.055624,4694538.972904
Junction_1418,336227.210164,4694537.913614
Junction_1419,336227.424115,4694537.340894
Junction_142,339035.366774,4696098.784704
Junction_1420,336238.773748,4694573.83736
Junction_1421,336237.720466,4694574.064125
Junction_1422,336240.485502,4694573.057847
Junction_1423,336237.708802,4694571.085589
Junction_1424,336219.79028,4694540.729811
Junction_1425,336219.343607,4694540.540689
Junction_1426,336221.887985,4694536.870494
Junction_1427,336221.759535,4694538.194543
Junction_1428,336217.351226,4694559.941896
Junction_1429,336217.325445,4694559.9874
Junction_143,338803.647921,4696084.329886
Junction_1430,336213.902239,4694553.984824
Junction_1431,336214.274575,4694554.150768
Junction_1432,336219.237683,4694561.295481
Junction_1433,336219.589245,4694560.498898
Junction_1434,336227.488841,4694563.189698
Junction_1435,336227.742237,4694561.091342
Junction_1436,336228.133645,4694563.378368
Junction_1437,336230.438693,4694563.615496
Junction_1438,336220.023053,4694561.936331
Junction_1439,336215.887312,4694567.739222
Junction_144,338758.786465,4696087.889553
Junction_1440,336226.131602,4694566.480099
Junction_1441,336226.969282,4694566.964566
Junction_1442,336221.604403,4694536.754358
Junction_1443,336222.038762,4694535.699673
Junction_1444,336219.062028,4694534.240015
Junction_1445,336219.601209,4694533.344567
Junction_1446,336228.455522,4694529.432889
Junction_1447,336232.284754,4694524.266842
Junction_1448,336231.428401,4694532.208687
Junction_1449,336231.77791,4694531.432229
Junction_145,338784.13526,4696381.302124
Junction_1450,336223.573208,4694526.77693
Junction_1451,336223.192812,4694527.711023
Junction_1452,336235.011896,4694533.896713
Junction_1453,336216.422188,4694525.185467
Junction_1454,336214.317725,4694523.390717
Junction_1455,336211.510089,4694531.234247
Junction_1456,336209.567365,4694530.665381
Junction_1457,336209.262158,4694531.17713
Junction_1458,336204.224812,4694539.494114
Junction_1459,336205.510017,4694539.659658
Junction_146,338822.312366,4696127.138389
Junction_1460,336204.208593,4694541.07932
Junction_1461,336203.338225,4694541.039723
Junction_1462,336204.198181,4694542.098963
Junction_1463,336205.993182,4694542.085197
Junction_1464,336204.174153,4694544.447061
Junction_1465,336205.849113,4694544.586124
Junction_1466,336204.157083,4694546.116665
Junction_1467,336203.52199,4694546.063403
Junction_1468,336204.689857,4694529.483498
Junction_1469,336164.608195,4694532.641144
Junction_147,339035.408023,4696107.941972
Junction_1470,336162.190716,4694535.435614
Junction_1471,336135.196121,4694490.19066
Junction_1472,336138.593798,4694491.436318
Junction_1473,336132.344384,4694493.621375
Junction_1474,336093.536213,4694467.968401
Junction_1475,336095.343678,4694464.931496
Junction_1476,336068.469825,4694456.657563
Junction_1477,336070.204105,4694451.28928
Junction_1478,336181.343933,4694552.00756
Junction_1479,336186.811632,4694550.123355
Junction_148,339034.112707,4696108.724788
Junction_1480,336179.836568,4694546.483194
Junction_1481,336179.084388,4694547.311814
Junction_1482,336184.718532,4694556.907144
Junction_1483,336189.59519,4694556.967365
Junction_1484,336189.626777,4694556.526599
Junction_1485,336184.102361,4694557.218909
Junction_1486,336184.030527,4694557.037147
Junction_1487,336184.166667,4694559.245792
Junction_1488,336182.253898,4694559.859099
Junction_1489,336184.894638,4694559.223455
Junction_149,339099.890443,4696390.336586
Junction_1490,336183.660294,4694559.403216
Junction_1491,336181.885016,4694559.606103
Junction_1492,336184.822854,4694559.041793
Junction_1493,336186.865595,4694562.934199
Junction_1494,336189.261299,4694560.843652
Junction_1495,336186.324111,4694563.062399
Junction_1496,336187.085352,4694565.194995
Junction_1497,336186.087484,4694565.444436
Junction_1498,336201.996955,4694616.069838
Junction_1499,336204.110829,4694615.375626
Junction_15,337179.547274,4695565.240396
Junction_150,339119.008969,4696350.193302
Junction_1500,336209.593045,4694630.978638
Junction_1501,336214.77486,4694630.484509
Junction_1502,336211.858347,4694635.648403
Junction_1503,336215.582505,4694634.871093
Junction_1504,336288.868129,4694518.042507
Junction_1505,336282.311154,4694504.214773
Junction_1506,336287.580171,4694519.714965
Junction_1507,336301.669411,4694560.088868
Junction_1508,336303.139332,4694559.832418
Junction_1509,336246.316326,4694532.955011
Junction_151,339165.517502,4696352.355783
Junction_1510,336243.291286,4694529.364208
Junction_1511,336207.979006,4694511.12436
Junction_1512,335874.955787,4692889.373167
Junction_1513,336035.480565,4692922.602408
Junction_1514,335452.199544,4692955.422771
Junction_1515,335589.280032,4693220.576656
Junction_1516,335696.757724,4693612.414312
Junction_1517,335696.200772,4693613.80504
Junction_1518,335681.00784,4693643.720503
Junction_1519,335785.250746,4693651.951136
Junction_152,339130.050392,4696330.521829
Junction_1520,335781.652685,4693651.269588
Junction_1521,335720.796159,4693624.400291
Junction_1522,335720.226242,4693625.167889
Junction_1523,335780.602105,4693653.243499
Junction_1524,335781.196101,4693652.131147
Junction_1525,335787.658114,4693657.97809
Junction_1526,335788.256564,4693656.411657
Junction_1527,336001.113141,4693769.941131
Junction_1528,336211.857045,4694635.6458
Junction_1529,336290.504644,4694542.917921
Junction_153,339205.600616,4696377.7884
Junction_1530,336288.324693,4694545.166303
Junction_1531,336283.634653,4694539.463428
Junction_1532,336284.295827,4694538.754549
Junction_1533,336276.049175,4694517.00259
Junction_1534,336274.921856,4694517.525602
Junction_1535,336266.884399,4694511.32059
Junction_1536,336267.416221,4694510.691504
Junction_1537,336265.48376,4694511.759604
Junction_1538,336266.407791,4694515.217451
Junction_1539,336265.310157,4694510.349954
Junction_154,338917.405963,4696025.607558
Junction_1540,336256.569777,4694502.6142
Junction_1541,336252.550723,4694505.294037
Junction_1542,336254.686423,4694500.340189
Junction_1543,336253.459186,4694501.065988
Junction_1544,336246.62699,4694492.443596
Junction_1545,336245.650397,4694493.471149
Junction_1546,336229.095321,4694479.375452
Junction_1547,336228.348647,4694480.418472
Junction_1548,336217.493492,4694472.653785
Junction_1549,336217.315734,4694474.039757
Junction_155,338923.826628,4696031.377461
Junction_1550,336287.525207,4694541.938575
Junction_1551,336274.843815,4694514.048032
Junction_1552,336207.716749,4694483.443262
Junction_1553,336210.413055,4694482.301226
Junction_1554,336210.109149,4694483.87652
Junction_1555,336211.429645,4694483.7741
Junction_1556,336208.461871,4694484.601468
Junction_1557,336210.160209,4694486.056321
Junction_1558,336211.22911,4694487.425724
Junction_1559,336208.766128,4694485.342485
Junction_156,338162.920879,4696536.363691
Junction_1560,336207.741829,4694489.273787
Junction_1561,336206.824755,4694488.419537
Junction_1562,336207.015729,4694493.444868
Junction_1563,336208.627966,4694493.24163
Junction_1564,336207.020184,4694494.543805
Junction_1565,336206.170139,4694494.801556
Junction_1566,336207.310824,4694496.718149
Junction_1567,336208.27245,4694496.557612
Junction_1568,336207.872031,4694504.334213
Junction_1569,336209.157636,4694504.355889
Junction_157,338928.914383,4696032.420282
Junction_1570,336207.908424,4694507.137895
Junction_1571,336208.889622,4694507.164326
Junction_1572,336203.525594,4694516.51572
Junction_1573,336204.5137,4694517.069969
Junction_1574,336198.800263,4694470.991689
Junction_1575,336197.209301,4694473.633231
Junction_1576,336199.41253,4694470.625911
Junction_1577,336196.91731,4694469.362382
Junction_1578,336195.552062,4694470.442747
Junction_1579,336197.591599,4694469.014125
Junction_158,338923.783828,4696031.563028
Junction_1580,336191.408312,4694463.156068
Junction_1581,336190.582345,4694463.797719
Junction_1582,336190.698381,4694462.437628
Junction_1583,336189.891437,4694463.13199
Junction_1584,336188.317044,4694460.027607
Junction_1585,336187.563212,4694460.730429
Junction_1586,336185.644616,4694457.345017
Junction_1587,336187.428804,4694455.792901
Junction_1588,336182.750429,4694456.731699
Junction_1589,336180.209705,4694459.222615
Junction_159,338922.021615,4696042.580173
Junction_1590,336184.172894,4694455.926607
Junction_1591,336180.706587,4694453.651344
Junction_1592,336174.317159,4694457.801101
Junction_1593,336181.263038,4694453.122175
Junction_1594,336158.140575,4694433.605382
Junction_1595,336160.201337,4694431.311147
Junction_1596,336140.760584,4694417.312563
Junction_1597,336140.243178,4694417.764142
Junction_1598,336182.565813,4694529.318254
Junction_1599,336183.617293,4694527.336335
Junction_16,337066.16948,4695865.220091
Junction_160,338916.607679,4696024.530147
Junction_1600,336186.056548,4694530.935097
Junction_1601,336187.813655,4694527.954909
Junction_1602,336186.315051,4694527.182104
Junction_1603,336196.887074,4694524.552326
Junction_1604,336180.118448,4694546.902785
Junction_1605,336181.544067,4694546.462921
Junction_1606,336862.422015,4694202.771765
Junction_1607,336864.443981,4694203.709813
Junction_1608,336856.833975,4694216.652461
Junction_1609,336861.429203,4694219.66764
Junction_161,338001.863314,4696455.298718
Junction_1610,336839.10923,4694252.013297
Junction_1611,336877.018448,4694267.920065
Junction_1612,336615.705759,4694103.10031
Junction_1613,336612.677314,4694105.327417
Junction_1614,336614.457398,4694101.657071
Junction_1615,336620.290825,4694098.267203
Junction_1616,336605.322807,4694091.781563
Junction_1617,336608.021215,4694089.133313
Junction_1618,336602.210814,4694088.679682
Junction_1619,336605.690937,4694086.202132
Junction_162,337990.272899,4696445.049722
Junction_1620,336590.589312,4694076.019965
Junction_1621,336589.397518,4694077.174416
Junction_1622,336589.665631,4694074.937448
Junction_1623,336594.541438,4694072.372296
Junction_1624,336578.647536,4694062.462097
Junction_1625,336582.134867,4694060.534992
Junction_1626,336567.832027,4694049.710723
Junction_1627,336570.483781,4694047.684051
Junction_1628,336560.889302,4694039.779199
