Node,Latitude,Longitude
Junction_1,42.404412474352334,13.037308548791373
Junction_10,42.39996508805643,13.043180803030646
Junction_100,42.4047385916947,13.030734674772459
Junction_1000,42.39621914610382,13.022407741004258
Junction_1001,42.39493610170985,13.024288104863224
Junction_1002,42.39502693660752,13.02393763525731
Junction_1003,42.39632365234781,13.025545420094721
Junction_1004,42.39632047202673,13.025552386391496
Junction_1005,42.39635664576548,13.02555467675109
Junction_1006,42.396355370974554,13.025570616280902
Junction_1007,42.396472962421946,13.025558597487038
Junction_1008,42.39647672564631,13.025590069406446
Junction_1009,42.396494028026105,13.025557652233498
Junction_101,42.39603734473508,13.022213092041556
Junction_1010,42.39649384923565,13.025513574232683
Junction_1011,42.3965208212707,13.025556349145953
Junction_1012,42.394745958641536,13.024258518059128
Junction_1013,42.394741975208454,13.02427370351036
Junction_1014,42.394718589356046,13.024255092221011
Junction_1015,42.394720748571196,13.024228726616577
Junction_1016,42.39454265996081,13.024220054853952
Junction_1017,42.394538850156934,13.024242434458365
Junction_1018,42.39468628649468,13.024249864676385
Junction_1019,42.39468851604806,13.024224702903274
Junction_102,42.40273722384841,13.04237871285414
Junction_1020,42.39446704177793,13.024205143189608
Junction_1021,42.39446700816716,13.024227145188714
Junction_1022,42.3949226421464,13.024285758741962
Junction_1023,42.39444000008839,13.024041693519491
Junction_1024,42.39444251752565,13.024055192761539
Junction_1025,42.3945307024753,13.023873111503649
Junction_1026,42.39452994322642,13.023893393261012
Junction_1027,42.394600180208506,13.023853143453481
Junction_1028,42.39460136206618,13.023880323737528
Junction_1029,42.39477448839973,13.023885527935503
Junction_103,42.40272538139236,13.042344655371783
Junction_1030,42.39478010704309,13.023860785210593
Junction_1031,42.39481357081905,13.023907036485165
Junction_1032,42.39481035108104,13.023935031301775
Junction_1033,42.394847500083834,13.0239149764065
Junction_1034,42.39484598997211,13.023939687515902
Junction_1035,42.39501363827799,13.023934966682027
Junction_1036,42.395416997564425,13.022641897310159
Junction_1037,42.39539745134398,13.022617691539098
Junction_1038,42.39572136179187,13.022453900795513
Junction_1039,42.3957143768724,13.022448301593608
Junction_104,42.40278316663108,13.042358333635633
Junction_1040,42.39633174148302,13.022978916587103
Junction_1041,42.39639891611877,13.025560285841717
Junction_1042,42.39639763832895,13.025571655453843
Junction_1043,42.39645684832318,13.025588710018832
Junction_1044,42.39645631506757,13.02557439997574
Junction_1045,42.39651741722489,13.025417886446244
Junction_1046,42.39622595636588,13.025392111855128
Junction_1047,42.39622969793452,13.025175564162721
Junction_1048,42.39623529589172,13.025184633802816
Junction_1049,42.396177621736356,13.025136867995991
Junction_105,42.40297716635094,13.042114500030769
Junction_1050,42.396198639073646,13.025133670751307
Junction_1051,42.3962576866134,13.025526744956933
Junction_1052,42.39625629942664,13.02550863557041
Junction_1053,42.39637516358593,13.023008896036025
Junction_1054,42.39637689160941,13.023043891710422
Junction_1055,42.396502710174424,13.022992478836498
Junction_1056,42.396530026339214,13.022998598361827
Junction_1057,42.39653399810531,13.022978461396603
Junction_1058,42.39653584429392,13.022980638558952
Junction_1059,42.396332625946826,13.023004106568312
Junction_106,42.40298683312838,13.042224833467927
Junction_1060,42.396112804815004,13.022806741853179
Junction_1061,42.39616587982749,13.023083358276773
Junction_1062,42.39631830016898,13.022979302171885
Junction_1063,42.39970107499729,13.022230633841005
Junction_1064,42.39968773716592,13.022233409766876
Junction_1065,42.39991566826322,13.0199229015966
Junction_1066,42.39853072495077,13.019827516557024
Junction_1067,42.40017507008942,13.019379343228819
Junction_1068,42.40032884213861,13.01970125707599
Junction_1069,42.398671163289826,13.019606371065159
Junction_107,42.39881565091103,13.04231345917919
Junction_1070,42.398651243250065,13.019597300213608
Junction_1071,42.39891018366112,13.01937901993402
Junction_1072,42.39887321154894,13.01937081465387
Junction_1073,42.39883529368372,13.019415873855012
Junction_1074,42.39883527779732,13.019415841512743
Junction_1075,42.399794846491424,13.019337788111567
Junction_1076,42.399771811183896,13.019304136193721
Junction_1077,42.39983261144825,13.01929583008232
Junction_1078,42.39981448344523,13.019272341816205
Junction_1079,42.39996212494543,13.019196643154013
Junction_108,42.399854993871095,13.043252040814075
Junction_1080,42.39995938310803,13.019230519855155
Junction_1081,42.40032048336785,13.01932427835085
Junction_1082,42.40031213399795,13.019323442572123
Junction_1083,42.40036348496545,13.018874079860515
Junction_1084,42.40030077147374,13.018948958645925
Junction_1085,42.400256824987736,13.018980576457535
Junction_1086,42.400322948390865,13.018992328168109
Junction_1087,42.40005954976039,13.0191423733926
Junction_1088,42.400044898312494,13.019129551182408
Junction_1089,42.400208299597516,13.018822921952147
Junction_109,42.39882070901523,13.042310929823813
Junction_1090,42.400193678708014,13.018817735832457
Junction_1091,42.40019850722111,13.018798410438219
Junction_1092,42.40018614672132,13.018795861663408
Junction_1093,42.40019730073906,13.018683595154714
Junction_1094,42.40018421003416,13.018664182311937
Junction_1095,42.40022235837287,13.018656041055769
Junction_1096,42.400236304708024,13.01869185483721
Junction_1097,42.400209175256045,13.018748383006418
Junction_1098,42.40023054410173,13.01874318275058
Junction_1099,42.40020671462261,13.018735180813904
Junction_11,42.39900856175786,13.044698128820805
Junction_110,42.398840494857545,13.042300268516005
Junction_1100,42.4002000976167,13.018738408963742
Junction_1101,42.400282939094176,13.018579347930611
Junction_1102,42.40027135314373,13.018560768450001
Junction_1103,42.40059005664827,13.017919513365781
Junction_1104,42.40061110613234,13.017970368542828
Junction_1105,42.400263930049164,13.016658013182509
Junction_1106,42.4002353196465,13.016732088471835
Junction_1107,42.400255983185644,13.016274599957963
Junction_1108,42.40023837997256,13.016250473649011
Junction_1109,42.40010529220014,13.016622552571686
Junction_111,42.39881282457031,13.04230711145243
Junction_1110,42.400070644751835,13.016710856564975
Junction_1111,42.40011107484731,13.016630533517612
Junction_1112,42.40007633386624,13.016713588958373
Junction_1113,42.4001841611378,13.01678541851595
Junction_1114,42.40017966143968,13.016799785086937
Junction_1115,42.40019327333758,13.016792795828502
Junction_1116,42.40019018355662,13.016797825353478
Junction_1117,42.40020901301552,13.016801408306325
Junction_1118,42.4002074422749,13.016804266023218
Junction_1119,42.40017904474525,13.016621225194946
Junction_112,42.398809155003384,13.042297689839346
Junction_1120,42.40011877343316,13.016740883377933
Junction_1121,42.40092334236971,13.017733427470517
Junction_1122,42.400936094710794,13.018296463061676
Junction_1123,42.400950404978715,13.01822544840851
Junction_1124,42.40094338644346,13.018260277801732
Junction_1125,42.40095082975967,13.017818131427196
Junction_1126,42.400127906583194,13.019082022833585
Junction_1127,42.40011442570071,13.019081526166078
Junction_1128,42.400286471616816,13.019074011504348
Junction_1129,42.40030351670705,13.019162015033723
Junction_113,42.39882813052182,13.042324699130459
Junction_1130,42.40028519314656,13.019110523456561
Junction_1131,42.400278170141156,13.019111310722671
Junction_1132,42.400296687813196,13.019168006943758
Junction_1133,42.40018829212009,13.01937558313762
Junction_1134,42.40025048987839,13.019349409902459
Junction_1135,42.40026026566163,13.019359691730994
Junction_1136,42.40019874503165,13.01932097161386
Junction_1137,42.400185167363844,13.019330185388936
Junction_1138,42.40012785266364,13.019100314785875
Junction_1139,42.40022592338241,13.016447546744244
Junction_114,42.398819205073934,13.042301822213169
Junction_1140,42.40012493969281,13.016371948151825
Junction_1141,42.40007009626155,13.016368542173154
Junction_1142,42.40017744969729,13.016356364951536
Junction_1143,42.40016395879304,13.01635557601735
Junction_1144,42.40028317499317,13.01681290326011
Junction_1146,42.40132629420205,13.0168392601467
Junction_1147,42.37744925909173,13.013077427480923
Junction_1148,42.37745285490776,13.013091635293138
Junction_1149,42.37315290155251,13.009758320022058
Junction_115,42.39885880898657,13.042405494122471
Junction_1150,42.373084236859654,13.00972542208873
Junction_1151,42.37778158257386,13.014743950773138
Junction_1152,42.37769230692165,13.014784637435831
Junction_1153,42.377703346100056,13.014560775219815
Junction_1154,42.377649978115564,13.014596856294272
Junction_1155,42.377420900520015,13.01454840108956
Junction_1156,42.377392130661455,13.014578646337212
Junction_1157,42.37763793142086,13.014605038625799
Junction_1158,42.37782357707654,13.0149950815838
